id;KOV;maakond;nimekiri;partei;nr;haali;ehaali
id_8162;Rakvere linn;L‰‰ne-Viru;Eesti Reformierakond;Eesti Reformierakond;nr288;18;10
id_12446;Tudulinna vald;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr120;20;0
id_477;Antsla vald;Vıru;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr104;22;9
id_11378;Tallinn 8;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1313;26;1
id_2463;Kareda vald;J‰rva;Valimisliit Kodupaik Kareda;Muu;nr108;8;6
id_11144;Tallinn 7;Tallinna linn;Vaba Tallinna Kodanik Valimisliit;Muu;nr887;21;5
id_13699;Viljandi linn;Viljandi;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr178;27;8
id_6896;Palupera vald;Valga;Valimisliit Toimiv Koduvald;Muu;nr104;28;3
id_8347;Rapla vald;Rapla;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr102;49;21
id_3125;Kiviıli linn;Ida-Viru;Valimisliit T÷÷STUSE JA LINNA ‹HENDUS;Muu;nr130;11;0
id_10140;Tallinn 2;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr963;234;31
id_2674;Kehtna vald;Rapla;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr146;4;3
id_6690;Pala vald;Jıgeva;Eesti Reformierakond;Eesti Reformierakond;nr141;5;0
id_1491;H‰‰demeeste vald;P‰rnu;Eesti Keskerakond;Eesti Keskerakond;nr140;5;0
id_4279;K‰ina vald;Hiiu;Valimisliit "Koostˆˆ";Muu;nr109;24;13
id_11327;Tallinn 8;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr724;2;0
id_8701;R‰pina vald;Pılva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr178;20;10
id_6675;Pala vald;Jıgeva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr143;1;0
id_14755;‹lenurme vald;Tartu;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr112;10;5
id_5166;Meeksi vald;Tartu;Eesti Keskerakond;Eesti Keskerakond;nr115;14;0
id_8186;Rakvere linn;L‰‰ne-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr198;5;1
id_2227;Kadrina vald;L‰‰ne-Viru;Valimisliit Koduvald;Muu;nr136;101;27
id_5416;Mustvee linn;Jıgeva;Valimisliit P‰hklid;Muu;nr131;4;1
