id;KOV;maakond;nimekiri;partei;nr;haali;ehaali
id_4698;Luunja vald;Tartu;Valimisliit Koduvald Luunja;Muu;nr161;16;4
id_2380;Kambja vald;Tartu;Valimisliit Koduvald;Muu;nr108;4;0
id_4354;K‰ru vald;Rapla;Eesti Reformierakond;Eesti Reformierakond;nr114;7;3
id_7362;Pılva vald;Pılva;Valimisliit Pılva Areng;Muu;nr186;27;11
id_884;Haapsalu linn;L‰‰ne;Eesti Reformierakond;Eesti Reformierakond;nr177;101;21
id_9526;Suure-Jaani vald;Viljandi;Eesti Reformierakond;Eesti Reformierakond;nr116;20;1
id_11782;Tartu linn;Tartu linn;Eesti Reformierakond;Eesti Reformierakond;nr523;1;0
id_11329;Tallinn 8;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1311;12;2
id_11125;Tallinn 7;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr680;6;2
id_2552;Karula vald;Valga;Eesti Reformierakond;Eesti Reformierakond;nr114;35;6
id_7213;Pıltsamaa linn;Jıgeva;Eesti Keskerakond;Eesti Keskerakond;nr101;46;3
id_10073;Tallinn 2;Tallinna linn;Eesti Konservatiivne Rahvaerakond;Muu;nr1588;5;0
id_6214;Otep‰‰ vald;Valga;Valimisliit Otep‰‰;Muu;nr136;234;30
id_3711;Kose vald;Harju;VALIMISLIIT MEIE VALD KOSE;Muu;nr120;22;6
id_3568;Kolga-Jaani vald;Viljandi;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr109;24;0
id_9886;Tallinn 1;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr343;44;18
id_12215;Tarvastu vald;Viljandi;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr128;7;2
id_7540;P‰rnu linn;P‰rnu;Toomas Kivim‰gi Valimisliit;Muu;nr228;55;9
id_14207;Vınnu vald;Tartu;Valimisliit ÑOma inimesedì.;Muu;nr138;17;4
id_13297;Veriora vald;Pılva;Valimisliit Koduvald Veriora;Muu;nr111;11;2
id_9161;Saue vald;Harju;Valimisliit Suurliit;Muu;nr163;1;1
id_2102;J‰rva-Jaani vald;J‰rva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr139;2;0
id_5392;Mustjala vald;Saare;Valimisliit Koduvald Mustjala;Muu;nr110;1;0
id_10802;Tallinn 5;Tallinna linn;Vaba Tallinna Kodanik Valimisliit;Muu;nr869;136;55
id_4519;Lasva vald;Vıru;Eesti Keskerakond;Eesti Keskerakond;nr105;8;0
id_13359;Vigala vald;Rapla;Eesti Keskerakond;Eesti Keskerakond;nr147;28;1
id_10864;Tallinn 5;Tallinna linn;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr226;22;9
id_2936;Kernu vald;Harju;Kernu Vallarahva Valimisliit;Muu;nr154;1;0
id_14396;Vıru vald;Vıru;Valimisliit VALLA EEST;Muu;nr141;95;20
id_6397;Paide linn;J‰rva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr141;27;5
id_7258;Pıltsamaa vald;Jıgeva;Eesti Keskerakond;Eesti Keskerakond;nr152;5;0
id_13760;Viljandi linn;Viljandi;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr195;18;3
id_6631;Pajusi vald;Jıgeva;Eesti Reformierakond;Eesti Reformierakond;nr147;9;3
id_7549;P‰rnu linn;P‰rnu;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr189;104;20
id_9636;Sımerpalu vald;Vıru;Valimisliit KODUVALLA HEAKS;Muu;nr120;5;1
id_13180;Vasalemma vald;Harju;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr101;129;27
id_7463;P‰rnu linn;P‰rnu;Eesti Konservatiivne Rahvaerakond;Muu;nr129;15;1
id_6576;Paikuse vald;P‰rnu;Valimisliit PAREM PAIKUSE;Muu;nr119;19;9
id_7781;Raasiku vald;Harju;Kodukoha eest valimisliit;Muu;nr159;18;7
id_2340;Kallaste linn;Tartu;Valimisliit "’iglus";Muu;nr161;27;1
id_9476;Sonda vald;Ida-Viru;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr127;7;2
id_2197;Kaarma vald;Saare;Eesti Reformierakond;Eesti Reformierakond;nr146;71;28
id_6263;Otep‰‰ vald;Valga;Eesti Reformierakond;Eesti Reformierakond;nr128;10;4
id_10446;Tallinn 4;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr500;4;1
id_12712;T¸ri vald;J‰rva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr107;5;1
id_781;Haanja vald;Vıru;Valimisliit Kogukond;Muu;nr101;33;4
id_10662;Tallinn 5;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr529;7;3
id_7106;Puurmani vald;Jıgeva;Eesti Keskerakond;Eesti Keskerakond;nr144;21;4
id_2103;J‰rva-Jaani vald;J‰rva;Valimisliit J‰rva-Jaani Heaks;Muu;nr102;35;2
id_12803;Urvaste vald;Vıru;Valimisliit ‹ks Urvaste;Muu;nr115;17;7
id_2949;Kernu vald;Harju;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr102;66;22
id_2946;Kernu vald;Harju;Valimisliit Koostˆˆ;Muu;nr121;25;6
id_3044;Kiili vald;Harju;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr141;67;28
id_8560;Rıngu vald;Tartu;Eesti Keskerakond;Eesti Keskerakond;nr151;20;2
id_6538;Paide vald;J‰rva;Valimisliit Meie Vald;Muu;nr132;16;3
id_10204;Tallinn 2;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr394;10;5
id_1804;Jıgeva linn;Jıgeva;Eesti Reformierakond;Eesti Reformierakond;nr154;8;3
id_11748;Tartu linn;Tartu linn;Eesti Konservatiivne Rahvaerakond;Muu;nr279;10;4
id_9398;Sindi linn;P‰rnu;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr135;9;3
id_11670;Tartu linn;Tartu linn;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr215;57;18
id_13431;Vihula vald;L‰‰ne-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr131;6;0
id_2601;Kasep‰‰ vald;Jıgeva;Eesti Reformierakond;Eesti Reformierakond;nr102;4;0
id_6151;Orava vald;Pılva;Valimisliit Koduvald Orava;Muu;nr114;15;7
id_11722;Tartu linn;Tartu linn;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr366;31;11
id_8693;R‰pina vald;Pılva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr164;8;0
id_7008;Puhja vald;Tartu;Valimisliit Nr 1;Muu;nr122;19;6
id_6599;Pajusi vald;Jıgeva;‹ksikkandidaat;Muu;nr152;45;20
id_8084;Rakvere linn;L‰‰ne-Viru;Eesti Keskerakond;Eesti Keskerakond;nr156;32;3
id_102;Aegviidu vald;Harju;Valimisliit AINULT ‹KS AEGVIIDU;Muu;nr114;10;2
id_8204;Rakvere linn;L‰‰ne-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr200;49;9
id_3868;Kullamaa vald;L‰‰ne;Kodukandi Kullamaa Valimisliit;Muu;nr143;28;8
id_12094;Tartu vald;Tartu;Valimisliit Kohalik Elu;Muu;nr160;7;2
id_649;Avinurme vald;Ida-Viru;Eesti Reformierakond;Eesti Reformierakond;nr104;14;0
id_6645;Pajusi vald;Jıgeva;Valimisliit Pajusi;Muu;nr116;9;2
id_11057;Tallinn 6;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr646;8;1
id_13262;Vastse-Kuuste vald;Pılva;Eesti Reformierakond;Eesti Reformierakond;nr108;7;1
id_7544;P‰rnu linn;P‰rnu;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr214;28;3
id_4440;Laeva vald;Tartu;Eesti Reformierakond;Eesti Reformierakond;nr128;10;2
id_1260;Harku vald;Harju;Eesti Reformierakond;Eesti Reformierakond;nr201;65;22
id_12064;Tartu linn;Tartu linn;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr423;10;6
id_12386;Torma vald;Jıgeva;Valimisliit MEIE INIMESED;Muu;nr113;27;2
id_13980;Vinni vald;L‰‰ne-Viru;Valimisliit M‰rka Inimest;Muu;nr119;16;3
id_9167;Saue vald;Harju;Valimisliit Suurliit;Muu;nr179;0;0
id_13152;Varstu vald;Vıru;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr117;11;4
id_10973;Tallinn 6;Tallinna linn;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr1526;72;24
id_699;Elva linn;Tartu;Valimisliit Elva;Muu;nr158;71;6
id_4796;L‰‰ne-Nigula vald;L‰‰ne;Valimisliit Tasakaal;Muu;nr142;10;1
id_14679;V‰‰tsa vald;J‰rva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr114;20;7
id_13478;Viimsi vald;Harju;Eesti Reformierakond;Eesti Reformierakond;nr177;43;24
id_47;Abja vald;Viljandi;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr103;47;7
id_4260;Kıo vald;Viljandi;Valimisliit Koduvald;Muu;nr105;10;1
id_14314;Vıru linn;Vıru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr119;25;9
id_8024;Rakvere linn;L‰‰ne-Viru;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr140;2;0
id_2989;Kernu vald;Harju;Valimisliit Koostˆˆ;Muu;nr130;16;1
id_7303;Pılva vald;Pılva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr138;19;6
id_643;Avinurme vald;Ida-Viru;Eesti Reformierakond;Eesti Reformierakond;nr107;16;3
id_5728;Narva-Jıesuu linn;Ida-Viru;Valimisliit ‹htne Narva-Jıesuu;Muu;nr144;9;0
id_10937;Tallinn 6;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr651;10;2
id_7874;Rae vald;Harju;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr134;33;15
id_6704;Palamuse vald;Jıgeva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr135;6;0
id_13466;Viimsi vald;Harju;Valimisliit Parteivaba Viimsi;Muu;nr107;20;8
id_13740;Viljandi linn;Viljandi;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr196;8;2
id_10353;Tallinn 3;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1035;68;6
id_3869;Kullamaa vald;L‰‰ne;Kodukandi Kullamaa Valimisliit;Muu;nr148;14;3
id_10160;Tallinn 2;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr972;79;7
id_4252;Kıo vald;Viljandi;Valimisliit Koduvald;Muu;nr104;5;1
id_6862;Paldiski linn;Harju;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr111;12;0
id_263;Ambla vald;J‰rva;"Valimisliit hingelt koduvalla j‰rvakad";Muu;nr145;10;3
id_14568;V‰ndra vald;P‰rnu;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr123;29;5
id_5742;Narva-Jıesuu linn;Ida-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr173;2;0
id_7587;P‰rnu linn;P‰rnu;Eesti Keskerakond;Eesti Keskerakond;nr150;36;10
id_10570;Tallinn 4;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1108;13;3
id_8941;Salme vald;Saare;Valimisliit Koostˆˆ;Muu;nr114;25;10
id_2111;J‰rva-Jaani vald;J‰rva;Valimisliit J‰rva-Jaani Heaks;Muu;nr109;20;3
id_5962;Narva linn;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr171;10;3
id_9877;Tallinn 1;Tallinna linn;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr1389;139;48
id_5213;Merem‰e vald;Vıru;VALIMISLIIT KODUVALD;Muu;nr135;8;0
id_2514;Karksi vald;Viljandi;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr123;40;7
id_6936;Peipsi‰‰re vald;Tartu;Valimisliit "Meie Peipsimaa";Muu;nr133;7;0
id_1170;Harku vald;Harju;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr192;15;6
id_12176;Tartu vald;Tartu;Valimisliit Kohalik Elu;Muu;nr134;24;8
id_14411;Vıru vald;Vıru;Valimisliit VALLA EEST;Muu;nr129;85;17
id_3016;Kihelkonna vald;Saare;Valimisliit KODUVALD;Muu;nr116;14;3
id_12291;Toila vald;Ida-Viru;Valimisliit ‹htne Vald;Muu;nr148;11;3
id_13368;Vigala vald;Rapla;Valimisliit Vigala V‰ega V‰rk;Muu;nr128;22;5
id_2443;Kanepi vald;Pılva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr108;19;12
id_3923;Kunda linn;L‰‰ne-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr125;12;2
id_2984;Kernu vald;Harju;Valimisliit Koostˆˆ;Muu;nr115;12;2
id_9044;Saue linn;Harju;Eesti Reformierakond;Eesti Reformierakond;nr179;21;12
id_11443;Tamsalu vald;L‰‰ne-Viru;Eesti Reformierakond;Eesti Reformierakond;nr133;3;1
id_10100;Tallinn 2;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr410;3;0
id_7666;P‰rnu linn;P‰rnu;Eesti Reformierakond;Eesti Reformierakond;nr314;5;5
id_7912;Rae vald;Harju;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr164;19;6
id_4864;L¸ganuse vald;Ida-Viru;Ole Meiega Valimisliit;Muu;nr133;11;1
id_5212;Merem‰e vald;Vıru;Valimisliit Omadega m‰el;Muu;nr106;50;8
id_5048;Maardu linn;Harju;Eesti Keskerakond;Eesti Keskerakond;nr131;5;0
id_808;Haanja vald;Vıru;Valimisliit HAANJAMAA;Muu;nr135;39;4
id_12011;Tartu linn;Tartu linn;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr167;49;16
id_11391;Tallinn 8;Tallinna linn;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr1572;6;0
id_5776;Narva-Jıesuu linn;Ida-Viru;Valimisliit ‹htne Narva-Jıesuu;Muu;nr143;4;1
id_1663;Jıel‰htme vald;Harju;Eesti Keskerakond;Eesti Keskerakond;nr115;16;0
id_12785;Urvaste vald;Vıru;Valimisliit ‹ks Urvaste;Muu;nr132;58;11
id_5496;Mıniste vald;Vıru;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr135;20;14
id_9107;Saue vald;Harju;Valimisliit "Meie Vald";Muu;nr143;43;9
id_5587;M‰ksa vald;Tartu;Valimisliit Meie ja M‰ksa;Muu;nr109;6;0
id_2140;J‰rvakandi vald;Rapla;Valimisliit J‰rvakandi kant;Muu;nr111;41;4
id_8415;Ridala vald;L‰‰ne;Eesti Reformierakond;Eesti Reformierakond;nr141;42;13
id_11890;Tartu linn;Tartu linn;Valimisliit Vabakund;Muu;nr253;50;9
id_4649;Lohusuu vald;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr131;18;3
id_10917;Tallinn 6;Tallinna linn;Eesti Konservatiivne Rahvaerakond;Muu;nr1640;26;9
id_5835;Narva linn;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr112;349;10
id_13163;Varstu vald;Vıru;Pıllupidajate ja Metsaomanike Valimisliit;Muu;nr105;15;2
id_12198;Tartu vald;Tartu;Valimisliit Kohalik Elu;Muu;nr145;13;2
id_14276;Vıru linn;Vıru;Eesti Reformierakond;Eesti Reformierakond;nr205;26;3
id_14166;Vıhma linn;Viljandi;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr116;8;0
id_6072;Nıo vald;Tartu;VALIMISLIIT HEA VALIK;Muu;nr159;11;2
id_4237;Kılleste vald;Pılva;Eesti Reformierakond;Eesti Reformierakond;nr106;19;6
id_7078;Puka vald;Valga;Valimisliit "Rahva H‰‰l";Muu;nr124;5;0
id_8382;Rapla vald;Rapla;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr105;68;22
id_13732;Viljandi linn;Viljandi;Eesti Keskerakond;Eesti Keskerakond;nr241;6;0
id_3333;Kohila vald;Rapla;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr141;5;0
id_8097;Rakvere linn;L‰‰ne-Viru;Eesti Keskerakond;Eesti Keskerakond;nr165;2;0
id_9773;Taheva vald;Valga;Eesti Reformierakond;Eesti Reformierakond;nr102;21;10
id_7291;Pıltsamaa vald;Jıgeva;Valimisliit Eesti algab kodust;Muu;nr125;6;1
id_9552;Suure-Jaani vald;Viljandi;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr164;11;7
id_12089;Tartu vald;Tartu;Valimisliit Kohalik Elu;Muu;nr184;3;2
id_3069;Kiili vald;Harju;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr142;18;15
id_6343;Padise vald;Harju;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr130;5;0
id_1717;Jıel‰htme vald;Harju;Eesti Reformierakond;Eesti Reformierakond;nr163;21;9
id_8107;Rakvere linn;L‰‰ne-Viru;VALIMISLIIT RAKVERE RAHVA KOGU;Muu;nr223;5;0
id_3215;Koeru vald;J‰rva;Valimisliit ‹htne Koeru;Muu;nr150;7;2
id_7066;Puka vald;Valga;Eesti Reformierakond;Eesti Reformierakond;nr132;4;1
id_7332;Pılva vald;Pılva;Eesti Reformierakond;Eesti Reformierakond;nr155;46;17
id_13970;Vinni vald;L‰‰ne-Viru;Valimisliit Kodupaik;Muu;nr130;10;1
id_9086;Saue vald;Harju;Valimisliit "Meie Vald";Muu;nr142;3;3
id_14509;V‰ike-Maarja vald;L‰‰ne-Viru;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr175;8;2
id_5791;Narva linn;Ida-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr243;69;18
id_2198;Kaarma vald;Saare;Eesti Reformierakond;Eesti Reformierakond;nr157;12;5
id_6981;Pihtla vald;Saare;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr110;13;0
id_13813;Viljandi vald;Viljandi;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr137;51;7
id_12702;T¸ri vald;J‰rva;Eesti Reformierakond;Eesti Reformierakond;nr164;10;2
id_5172;Merem‰e vald;Vıru;Valimisliit Omadega m‰el;Muu;nr115;9;2
id_14654;V‰rska vald;Pılva;Eesti Reformierakond;Eesti Reformierakond;nr106;12;1
id_934;Haaslava vald;Tartu;Valimisliit Koduvald Haaslava;Muu;nr110;12;1
id_4527;Lasva vald;Vıru;Eesti Keskerakond;Eesti Keskerakond;nr102;24;0
id_7112;Puurmani vald;Jıgeva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr125;0;0
id_1095;Halliste vald;Viljandi;Valimisliit Koduvald;Muu;nr129;41;8
id_9633;Sımerpalu vald;Vıru;Valimisliit KODUVALLA HEAKS;Muu;nr119;128;23
id_5082;Maardu linn;Harju;Maardu Valimisliit;Muu;nr205;19;2
id_14660;V‰rska vald;Pılva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr126;35;5
id_12695;T¸ri vald;J‰rva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr198;28;9
id_10295;Tallinn 3;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr450;5;1
id_10962;Tallinn 6;Tallinna linn;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr1531;8;2
id_9341;Sillam‰e linn;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr146;36;0
id_6124;Orava vald;Pılva;Valimisliit Koduvald Orava;Muu;nr123;14;1
id_2363;Kambja vald;Tartu;Valimisliit Koduvald;Muu;nr123;45;16
id_660;Avinurme vald;Ida-Viru;Valimisliit Koduvald;Muu;nr131;12;1
id_11614;Tapa vald;L‰‰ne-Viru;Eesti Keskerakond;Eesti Keskerakond;nr178;8;0
id_9487;Sonda vald;Ida-Viru;Valimisliit Meie Vald;Muu;nr103;25;9
id_6814;Paldiski linn;Harju;Jaan Mˆlderi Valimisliit;Muu;nr186;5;0
id_11827;Tartu linn;Tartu linn;Isamaaline Tartu Kodanik - Valimisliit;Muu;nr335;11;1
id_9613;Sımerpalu vald;Vıru;Valimisliit KODUVALLA HEAKS;Muu;nr122;25;3
id_2296;Kallaste linn;Tartu;Valimisliit "Kallaste - meie kodu";Muu;nr115;27;4
id_14258;Vıru linn;Vıru;Valimisliit "Vıru V‰‰rib Vıimekust";Muu;nr243;6;0
id_1420;Hiiu vald;Hiiu;Eesti Reformierakond;Eesti Reformierakond;nr116;17;4
id_12331;Torgu vald;Saare;Valimisliit Taga-Sırve Kodanik;Muu;nr115;5;4
id_9455;Sindi linn;P‰rnu;Eesti Keskerakond;Eesti Keskerakond;nr144;28;4
id_3034;Kihnu vald;P‰rnu;Valimisliit "Parem Kihnu";Muu;nr118;8;2
id_10146;Tallinn 2;Tallinna linn;‹le-eestiline Valimisliit;Muu;nr742;24;8
id_5851;Narva linn;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr145;61;0
id_14653;V‰rska vald;Pılva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr130;8;3
id_2631;Kasep‰‰ vald;Jıgeva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr151;5;0
id_8397;Rapla vald;Rapla;Valimisliit Rapla Vallakodanike Liit;Muu;nr180;35;4
id_6596;Pajusi vald;Jıgeva;Eesti Keskerakond;Eesti Keskerakond;nr128;7;0
id_9631;Sımerpalu vald;Vıru;‹ksikkandidaat;Muu;nr138;14;4
id_11191;Tallinn 7;Tallinna linn;Eesti Konservatiivne Rahvaerakond;Muu;nr1650;21;7
id_9901;Tallinn 1;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr356;4;1
id_13588;Viimsi vald;Harju;Eesti Keskerakond;Eesti Keskerakond;nr198;24;3
id_4739;Luunja vald;Tartu;Valimisliit Uus Luunja;Muu;nr140;6;1
id_824;Haapsalu linn;L‰‰ne;Eesti Reformierakond;Eesti Reformierakond;nr172;78;15
id_8468;Roosna-Alliku vald;J‰rva;Eesti Keskerakond;Eesti Keskerakond;nr121;3;2
id_5072;Maardu linn;Harju;Maardu Valimisliit;Muu;nr176;46;21
id_5283;Misso vald;Vıru;VALIMISLIIT "MISSO LOOTUS";Muu;nr124;6;1
id_8895;Saku vald;Harju;Eesti Reformierakond;Eesti Reformierakond;nr144;60;10
id_952;Haaslava vald;Tartu;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr145;18;6
id_10266;Tallinn 3;Tallinna linn;Eesti Konservatiivne Rahvaerakond;Muu;nr1598;20;6
id_3283;Kohila vald;Rapla;Valimisliit Minu Kohila;Muu;nr192;42;9
id_4003;Kuressaare linn;Saare;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr189;17;3
id_1291;Harku vald;Harju;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr143;742;285
id_13896;Viljandi vald;Viljandi;Eesti Keskerakond;Eesti Keskerakond;nr197;1;0
id_10334;Tallinn 3;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1066;10;4
id_6063;Nıo vald;Tartu;Eesti Keskerakond;Eesti Keskerakond;nr103;12;2
id_6533;Paide vald;J‰rva;Valimisliit Paide Valla Kodanik;Muu;nr122;4;0
id_4862;L¸ganuse vald;Ida-Viru;Jıevalla Valimisliit;Muu;nr186;22;2
id_3076;Kiili vald;Harju;Eesti Reformierakond;Eesti Reformierakond;nr119;7;5
id_9371;Sillam‰e linn;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr131;57;4
id_11209;Tallinn 8;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr727;2;0
id_11159;Tallinn 7;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr666;17;6
id_9723;Tabivere vald;Jıgeva;Erakond Isamaa ja Res Publica Liit;Erakond Isamaa ja Res Publica Liit;nr129;7;0
id_302;Anija vald;Harju;Valimisliit "Koostˆˆs edasi";Muu;nr146;8;3
id_4448;Laheda vald;Pılva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr102;22;7
id_2109;J‰rva-Jaani vald;J‰rva;Valimisliit J‰rva-Jaani Heaks;Muu;nr101;199;50
id_8383;Rapla vald;Rapla;Eesti Reformierakond;Eesti Reformierakond;nr148;9;1
id_9255;Sauga vald;P‰rnu;Vallarahva Valimisliit;Muu;nr114;7;0
id_1523;Iisaku vald;Ida-Viru;‹ksikkandidaat;Muu;nr130;13;9
id_848;Haapsalu linn;L‰‰ne;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr142;17;4
id_14311;Vıru linn;Vıru;Eesti Keskerakond;Eesti Keskerakond;nr160;11;1
id_4420;Laeva vald;Tartu;Eesti Keskerakond;Eesti Keskerakond;nr106;3;0
id_8264;Rakvere vald;L‰‰ne-Viru;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr139;17;2
id_2751;Keila linn;Harju;Eesti Keskerakond;Eesti Keskerakond;nr210;22;0
id_8832;Saare vald;Jıgeva;Sotsiaaldemokraatlik Erakond;Sotsiaaldemokraatlik Erakond;nr122;8;1
id_3004;Kihelkonna vald;Saare;Valimisliit Mere‰‰rne Rahvas;Muu;nr126;1;1
id_9855;Tallinn 1;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr334;1406;676
id_6311;Otep‰‰ vald;Valga;Eesti Reformierakond;Eesti Reformierakond;nr121;26;6
id_2050;Jıhvi vald;Ida-Viru;Valimisliit Jıhvi Heaks;Muu;nr114;34;17
id_4983;L¸manda vald;Saare;Valimisliit Elujıuline Koduvald;Muu;nr142;10;4
id_3463;Kohtla-J‰rve linn;Ida-Viru;Eesti Keskerakond;Eesti Keskerakond;nr144;330;13
id_11146;Tallinn 7;Tallinna linn;Eesti Keskerakond;Eesti Keskerakond;nr1285;13;0
id_11628;Tapa vald;L‰‰ne-Viru;Valimisliit Valgejıgi;Muu;nr244;18;6
id_6270;Otep‰‰ vald;Valga;Valimisliit Meie Kodu;Muu;nr208;11;2
id_7411;Pılva vald;Pılva;Valimisliit Pılva Areng;Muu;nr190;28;2
id_6703;Palamuse vald;Jıgeva;Valimisliit Paunvere;Muu;nr115;33;7
id_11312;Tallinn 8;Tallinna linn;Eesti Reformierakond;Eesti Reformierakond;nr697;4;0
id_7538;P‰rnu linn;P‰rnu;Eesti Keskerakond;Eesti Keskerakond;nr173;5;0
