"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta";"aktsiate_arv"
"SWK";"Stanley Black & Decker";"Consumer Discretionary";95.68;-0.83;1722106;4.767;2.04;155800000
"SWN";"Southwestern Energy";"Energy";25.92;-2.48;9250059;2.15;0;351500000
"SYK";"Stryker Corp.";"Health Care";92.47;-0.29;1557673;1.34;1.26;378500000
"SYMC";"Symantec Corp.";"Information Technology";25.6;0.53;3041694;1.411;0.6;690200000
"SYY";"Sysco Corp.";"Consumer Staples";39.86;0.81;4728672;1.47;1.17;591100000
"ZION";"Zions Bancorp";"Financials";24.82;-1.9;2697791;1.71;0.16;2.03e+08
"ZMH";"Zimmer Holdings";"Health Care";115.52;-0.98;1110282;4.19;0.88;169500000
"ZTS";"Zoetis";"Health Care";43.46;-0.09;5102908;1.12;0.299;501300000
"T";"AT&T Inc";"Telecommunications Services";34.41;0.2;29862264;1.19;1.85;5187400000
"TAP";"Molson Coors Brewing Company";"Consumer Staples";77.67;-0.22;949866;3;1.48;185300000
"TDC";"Teradata Corp.";"Information Technology";46.98;0.62;3131534;2.256;0;1.53e+08
"TE";"TECO Energy";"Utilities";21.49;-0.88;5296601;0.735;0.88;234700000
"TEG";"Integrys Energy Group Inc.";"Utilities";80.54;-0.9;260063;4.638;2.72;79500000
"TEL";"TE Connectivity Ltd.";"Information Technology";67.97;-0.31;1811619;4.566;1.12;406200000
"TGT";"Target Corp.";"Consumer Discretionary";75.61;-0.34;5670176;2.38;1.9;6.37e+08
"THC";"Tenet Healthcare Corp.";"Health Care";43.42;-1.74;1988566;-0.746;0;98300000
"TIF";"Tiffany & Co.";"Consumer Discretionary";88.42;-1.76;1190484;1.43;1.48;129300000
"TJX";"TJX Companies Inc.";"Consumer Discretionary";67.87;0.85;3637522;3.022;0.67;688900000
"TMK";"Torchmark Corp.";"Financials";51.93;1.84;1398465;4.01;0.5073;128600000
"TMO";"Thermo Fisher Scientific";"Health Care";126.35;-0.77;1531088;4.707;0.6;400400000
"TRIP";"TripAdvisor";"Consumer Discretionary";71.18;0.52;1724713;1.441;0;142900000
"TROW";"T. Rowe Price Group";"Financials";81.055;-0.24;1116859;4.55;1.76;261100000
