"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta";"aktsiate_arv"
"DNB";"Dun & Bradstreet";"Industrials";121.43;0.29;205596;7.437;1.76;35900000
"DNR";"Denbury Resources Inc.";"Energy";8.19;-4.99;23407772;1.019;0.252;348500000
"DO";"Diamond Offshore Drilling";"Energy";32.87;-3.07;1205192;2.76;3.5;137100000
"DOV";"Dover Corp.";"Industrials";72.26;-2.13;2122495;4.593;1.55;164600000
"DOW";"Dow Chemical";"Materials";46.22;-1.43;6620269;2.87;1.53;1146900000
"DPS";"Dr Pepper Snapple Group";"Consumer Staples";78.65;1.07;1249221;3.564;1.64;194400000
"DRI";"Darden Restaurants";"Consumer Discretionary";60.66;-0.16;1479200;5.06;2.2;124100000
"DTE";"DTE Energy Co.";"Utilities";88.62;-1.57;1018154;4.096;2.69;1.77e+08
"DTV";"DirecTV";"Consumer Discretionary";87.96;1.07;3682426;5.421;0;502200000
"DUK";"Duke Energy";"Utilities";85.98;-0.92;3686308;3.486;3.15;707300000
"DVA";"DaVita Inc.";"Health Care";75.96;0.48;853640;3.368;0;214900000
"DVN";"Devon Energy Corp.";"Energy";64;-0.11;5257023;5.428;0.94;409100000
"EA";"Electronic Arts";"Information Technology";54.555;0.06;3670303;2.593;0;3.11e+08
"EBAY";"eBay Inc.";"Information Technology";53.71;-1;6839873;-0.033;0;1.23e+09
"ECL";"Ecolab Inc.";"Materials";104.44;-1.55;1384065;3.759;1.155;300100000
"ED";"Consolidated Edison";"Utilities";68.23;-1.1;2353280;4.24;1.89;292900000
"EFX";"Equifax Inc.";"Financials";85.03;-0.32;751592;2.78;1;120600000
"EIX";"Edison Int'l";"Utilities";67.5;-0.62;1384964;4.541;1.482;325800000
"EL";"Estee Lauder Cos.";"Consumer Staples";72.55;-0.4;2392588;2.891;0.84;379600000
"EMC";"EMC Corp.";"Information Technology";26.84;0.04;13264773;1.32;0.445;1.985e+09
"EMN";"Eastman Chemical";"Materials";71.81;-1.79;1758057;4.963;1.45;148600000
"EMR";"Emerson Electric";"Industrials";57.33;-3.55;10933917;3.03;1.76;693600000
"ENDP";"Endo International";"Health Care";77.57;-2.3;3028716;-10.521;0;153700000
"EOG";"EOG Resources";"Energy";95.19;-1.16;9869106;5.57;0.586;5.48e+08
"EQR";"Equity Residential";"Financials";78.94;1.22;2702182;1.443;2;362400000
"EQT";"EQT Corporation";"Energy";74.5;-3.07;2624093;3.382;0.12;151500000
"ESRX";"Express Scripts";"Health Care";82.34;0.57;6078361;2.487;0;733900000
"ESS";"Essex Property Trust Inc";"Financials";228.16;-0.1;350472;2.153;5.11;63900000
"ESV";"Ensco plc";"Energy";28.38;-5.21;5555903;-0.435;3;234400000
"ETFC";"E-Trade";"Financials";25.3;1.95;5560212;1;0;289200000
"ETN";"Eaton Corporation";"Industrials";68.48;-1.88;4301176;3.53;1.96;474600000
"ETR";"Entergy Corp.";"Utilities";87.47;-2.18;1581846;5.393;3.32;180500000
"EW";"Edwards Lifesciences";"Health Care";134.85;6.18;2069921;7.154;0;1.07e+08
"EXC";"Exelon Corp.";"Utilities";36.19;-2;6137143;2.44;1.24;859500000
"EXPD";"Expeditors Int'l";"Industrials";44.07;-0.54;1050047;1.798;0.64;1.93e+08
"EXPE";"Expedia Inc.";"Consumer Discretionary";87.87;0.06;1823178;3.182;0.66;126600000
"F";"Ford Motor";"Consumer Discretionary";15.87;1.41;41179484;0.798;0.525;3848700000
"FAST";"Fastenal Co";"Industrials";42.22;-7.78;9099765;1.66;1.03;295900000
"FB";"Facebook";"Information Technology";75.63;0.31;20277368;1.112;0;2799200000
"FCX";"Freeport-McMoran Cp & Gld";"Materials";18.29;-3.64;22443860;-1.26;1.252;1.039e+09
"FDO";"Family Dollar Stores";"Consumer Discretionary";77.35;-0.18;2486387;2.169;0.93;114400000
"FDX";"FedEx Corporation";"Industrials";172.08;-0.51;1442277;7.894;0.75;283300000
"FE";"FirstEnergy Corp";"Utilities";40.16;0.2;4783528;1.784;1.08;420800000
"FFIV";"F5 Networks";"Information Technology";110.1;-2;1627125;4.432;0;72700000
"FIS";"Fidelity National Information Services";"Information Technology";64.49;0.25;1378737;1.919;0.96;283700000
"FISV";"Fiserv Inc";"Information Technology";75.795;1.75;2178152;3.09;0;2.44e+08
"FITB";"Fifth Third Bancorp";"Financials";18.35;0.55;13803769;1.66;0.51;8.24e+08
"FLIR";"FLIR Systems";"Industrials";31.19;-0.03;860353;1.089;0.4;140900000
"FLR";"Fluor Corp.";"Industrials";54.35;-4.18;2452131;2.859;0.84;156200000
"FLS";"Flowserve Corporation";"Industrials";56.95;-3.34;1293972;3.605;0.64;136300000
"FMC";"FMC Corporation";"Materials";58.88;-0.98;1292086;1.921;0.6;133300000
"FOSL";"Fossil, Inc.";"Consumer Discretionary";98.98;-3.89;1359110;6.866;0;51100000
"FOXA";"Twenty-First Century Fox";"Consumer Discretionary";34.66;0.16;22721362;1.921;0.25;2156100000
"FSLR";"First Solar Inc";"Information Technology";46.98;-2.45;2236844;2.664;0;100200000
"FTI";"FMC Technologies Inc.";"Energy";38.68;-2.03;3841537;2.99;0;233800000
"FTR";"Frontier Communications";"Telecommunications Services";7.28;-0.82;12273846;0.185;0.4;1002100000
"GAS";"AGL Resources Inc.";"Utilities";56.52;-1.17;593032;3.443;1.96;119600000
"GCI";"Gannett Co.";"Consumer Discretionary";33.03;-0.87;2103539;2.05;0.8;225800000
"GD";"General Dynamics";"Industrials";138.53;-0.3;1500466;7.42;2.48;3.3e+08
"GE";"General Electric";"Industrials";24.16;-1.27;33236000;1.499;0.89;10049700000
"GGP";"General Growth Properties Inc.";"Financials";30.53;0;4829585;0.688;0.63;884400000
"GILD";"Gilead Sciences";"Health Care";98.43;-8.16;59415804;5.613;0;1508700000
"GIS";"General Mills";"Consumer Staples";53.22;-0.08;2434766;2.398;1.64;603700000
"GLW";"Corning Inc.";"Industrials";24.27;-0.33;9187695;1.732;0.4;1.274e+09
"GM";"General Motors";"Consumer Discretionary";35.83;5.44;49298112;1.556;1.2;1606700000
"GMCR";"Keurig Green Mountain";"Consumer Staples";121.2;-3.88;6190272;3.74;1.037;1.62e+08
"GME";"GameStop Corp.";"Consumer Discretionary";36.63;-2.32;2038108;3.213;1.32;108500000
"GNW";"Genworth Financial Inc.";"Financials";7.46;-2.36;5833174;-0.557;0;496600000
"GOOG";"Google Inc Class C";"Information Technology";522.76;-1.22;1659125;21.021;0;680200000
"GOOGL";"Google Inc Class A";"Information Technology";526.1;-1.35;1694832;21.021;0;680100000
"GPC";"Genuine Parts";"Consumer Discretionary";95.5;-2.47;1573716;4.499;2.3;152900000
"GPS";"Gap (The)";"Consumer Discretionary";42.19;-0.02;2670379;2.789;0.88;423600000
"GRMN";"Garmin Ltd.";"Consumer Discretionary";53.23;-0.78;919280;1.624;1.89;191200000
"GS";"Goldman Sachs Group";"Financials";178.78;-0.81;2980541;17.069;2.25;451500000
"GT";"Goodyear Tire & Rubber";"Consumer Discretionary";24.95;1.26;4371266;1.993;0.23;274500000
"GWW";"Grainger (W.W.) Inc.";"Industrials";239.16;-2.21;1554268;11.448;4.17;67400000
"HAL";"Halliburton Co.";"Energy";42.39;-2.15;18881828;4.105;0.63;8.48e+08
"HAR";"Harman Int'l Industries";"Consumer Discretionary";131.97;-1.84;1361840;4.513;1.26;68600000
"HAS";"Hasbro Inc.";"Consumer Discretionary";56.58;0.77;1315366;2.86;1.72;125700000
"HBAN";"Huntington Bancshares";"Financials";10.22;-1.45;15902284;0.72;0.21;811400000
"HCA";"HCA Holdings";"Health Care";68.96;-1.33;5677394;3.91;0;433600000
"HCBK";"Hudson City Bancorp";"Financials";9.44;0.32;2506574;0.317;0.16;499600000
"HCN";"Health Care REIT, Inc.";"Financials";80.72;-1.27;2596933;0.901;3.18;327700000
"HCP";"HCP Inc.";"Financials";45.36;-3.1;5656535;2.221;2.18;459300000
"HD";"Home Depot";"Consumer Discretionary";108.41;1.09;6766242;4.382;1.88;1318100000
"HES";"Hess Corporation";"Energy";72.01;-0.92;3624952;7.53;1;2.89e+08
"HIG";"Hartford Financial Svc.Gp.";"Financials";39.75;0.3;4703742;1.841;0.66;431500000
"HOG";"Harley-Davidson";"Consumer Discretionary";62.76;-1.15;1276647;3.88;1.1;213100000
"HON";"Honeywell Int'l Inc.";"Industrials";100.75;-0.51;2464495;5.33;1.868;783800000
"HOT";"Starwood Hotels & Resorts";"Consumer Discretionary";73.69;-0.78;1808950;2.774;4;178600000
"HP";"Helmerich & Payne";"Energy";65.72;-3.14;5031461;6.715;2.626;1.08e+08
"HPQ";"Hewlett-Packard";"Information Technology";37.9;0.34;10479717;2.62;0.625;1834100000
"HRB";"Block H&R";"Financials";34.86;-0.17;3272967;1.683;0.8;275200000
"HRL";"Hormel Foods Corp.";"Consumer Staples";53.96;3.23;1658129;2.23;0.85;263600000
"HRS";"Harris Corporation";"Information Technology";68.68;-0.71;919686;4.97;1.78;104600000
"HSP";"Hospira Inc.";"Health Care";64.8;1.73;1099024;1.957;0;169200000
"HST";"Host Hotels & Resorts";"Financials";23.07;-1.03;4791015;0.79;0.75;757300000
"HSY";"The Hershey Company";"Consumer Staples";105.7;0.96;1555406;3.77;2.04;221400000
"HUM";"Humana Inc.";"Health Care";150.54;1.32;1784261;6.183;1.11;153300000
"IBM";"International Bus. Machines";"Information Technology";156.96;-0.95;3678459;11.898;4.25;990700000
"ICE";"Intercontinental Exchange";"Financials";215;1.72;1059568;4.695;2.6;1.15e+08
"IFF";"Intl Flavors & Fragrances";"Materials";107.71;-0.27;289326;4.698;1.72;8.1e+07
"INTC";"Intel Corp.";"Information Technology";33.6;-0.3;25052752;2.31;0.675;4767900000
"INTU";"Intuit Inc.";"Information Technology";90.54;0.04;1483457;2.878;0.88;285500000
"IP";"International Paper";"Materials";54.36;1.17;2943807;1.28;1.4403;418700000
"IPG";"Interpublic Group";"Consumer Discretionary";20.58;-0.15;2572325;0.831;0.38;418200000
"IR";"Ingersoll-Rand PLC";"Industrials";66.81;-0.95;2005880;3.397;1;269500000
"IRM";"Iron Mountain Incorporated";"Industrials";40.55;0.87;960124;1.871;2.3371;193700000
"ISRG";"Intuitive Surgical Inc.";"Health Care";504.92;-0.74;171765;11.11;0;36400000
"ITW";"Illinois Tool Works";"Industrials";95.85;-0.02;2111202;6.966;1.81;390900000
"IVZ";"Invesco Ltd.";"Financials";38.46;-0.54;2869468;2.271;0.975;433200000
"JCI";"Johnson Controls";"Consumer Discretionary";48.11;-0.78;3518532;1.865;0.92;657300000
"JEC";"Jacobs Engineering Group";"Industrials";39.8;-3.21;1948165;2.538;0;130600000
"JNJ";"Johnson & Johnson";"Health Care";101.36;-1.07;9514074;5.7;2.76;2798900000
"JNPR";"Juniper Networks";"Information Technology";22.74;-2.07;5677269;-0.731;0.2;426100000
"JOY";"Joy Global Inc.";"Industrials";43.37;-1.81;1171994;3.28;0.775;97400000
"JPM";"JPMorgan Chase & Co.";"Financials";56.38;-0.6;14934076;5.29;1.58;3.73e+09
"JWN";"Nordstrom";"Consumer Discretionary";78.9;0.01;1208675;3.771;1.32;190200000
"K";"Kellogg Co.";"Consumer Staples";66.64;-0.02;1520306;4.814;1.9;3.55e+08
"KEY";"KeyCorp";"Financials";13.55;-0.22;6868221;0.996;0.25;859400000
"KIM";"Kimco Realty";"Financials";27.69;-1.32;4798358;0.906;0.915;411400000
"KLAC";"KLA-Tencor Corp.";"Information Technology";63.155;-0.5;1512392;2.549;18.4;162700000
"KMB";"Kimberly-Clark";"Consumer Staples";109.86;-0.28;1764533;4.042;3.2561;365300000
"KMI";"Kinder Morgan";"Energy";40.8;-1.64;12786318;0.902;1.74;2.133e+09
"KMX";"Carmax Inc";"Consumer Discretionary";64.46;1.11;1567814;2.484;0;2.1e+08
"KO";"The Coca Cola Company";"Consumer Staples";41.68;0.12;16399992;1.799;1.22;4.381e+09
"KORS";"Michael Kors Holdings";"Consumer Discretionary";71.38;-1.16;5098591;3.8;0;204800000
"KR";"Kroger Co.";"Consumer Staples";71.35;1.21;5796665;3.221;0.68;491300000
"KRFT";"Kraft Foods Group";"Consumer Staples";67.075;0.16;2378237;3.929;2.15;588800000
"KSS";"Kohl's Corp.";"Consumer Discretionary";66.87;6.35;11152022;4.012;1.56;2.02e+08
"KSU";"Kansas City Southern";"Industrials";114.37;-0.46;818542;4.55;1.12;110400000
"L";"Loews Corp.";"Financials";40.4;0.22;1565532;0.48;0.252;374100000
"LB";"L Brands Inc.";"Consumer Discretionary";86.51;-0.63;2120550;3.244;2.36;292700000
"LEG";"Leggett & Platt";"Industrials";43.8;0.62;1138032;0.684;1.22;137800000
"LEN";"Lennar Corp.";"Consumer Discretionary";46.47;2.29;5252039;2.803;0.16;2.05e+08
"LH";"Laboratory Corp. of America Holding";"Health Care";117.05;0.14;1640894;5.962;0;84500000
"LLL";"L-3 Communications Holdings";"Industrials";127.08;0.13;648939;7.56;2.4;84400000
"LLTC";"Linear Technology Corp.";"Information Technology";45.745;-0.74;3092396;2.039;1.08;2.44e+08
"LLY";"Lilly (Eli) & Co.";"Health Care";70.22;-0.95;5376408;2.225;1.96;1069800000
"LM";"Legg Mason";"Financials";56.79;-0.07;1059098;1.902;0.61;114100000
"LMT";"Lockheed Martin Corp.";"Industrials";192.28;0.15;1230868;11.21;5.49;3.14e+08
"LNC";"Lincoln National";"Financials";53.2;-0.02;3780779;5.618;0.68;259800000
"LO";"Lorillard Inc.";"Consumer Staples";66.15;-0.47;1721732;3.139;2.46;3.6e+08
"LOW";"Lowe's Cos.";"Consumer Discretionary";70.67;1.49;6143680;2.52;0.87;972900000
"LRCX";"Lam Research";"Information Technology";77.44;-0.24;2113106;4.036;0.54;159300000
"LUK";"Leucadia National Corp.";"Financials";23.27;-0.13;1346901;0.587;0.252;368400000
"LUV";"Southwest Airlines";"Industrials";44.64;3.21;8900544;1.64;0.22;6.77e+08
"LVLT";"Level 3 Communications";"Telecommunications Services";52.5;2.16;7592119;1.109;0;3.36e+08
"LYB";"LyondellBasell";"Materials";85.35;-1.78;6207116;8.482;2.7;500700000
"M";"Macy's Inc.";"Consumer Discretionary";64.89;-1.79;5723184;4.2;1.189;345300000
"MA";"Mastercard Inc.";"Information Technology";84.18;0.44;4924208;3.1;0.49;1152600000
"MAC";"Macerich";"Financials";88.08;-0.35;932247;1.521;2.51;140700000
"MAR";"Marriott Int'l.";"Consumer Discretionary";75.94;-0.9;2261605;2.347;0.77;283400000
"MAS";"Masco Corp.";"Industrials";26.12;0.58;5119933;2.193;0.345;356300000
"MAT";"Mattel Inc.";"Consumer Discretionary";27.925;-0.5;3800278;1.45;1.52;338400000
"MCD";"McDonald's Corp.";"Consumer Discretionary";94.05;0.14;6464783;4.82;3.28;973200000
"MCHP";"Microchip Technology";"Information Technology";46.33;1.63;3614726;1.708;1.424;201200000
"MCK";"McKesson Corp.";"Health Care";210.84;-1.07;1683829;5.579;0.96;231900000
"MCO";"Moody's Corp";"Financials";92.22;-0.51;1358521;4.419;1.12;208600000
"MDLZ";"Mondelez International";"Consumer Staples";36.015;-0.12;7244788;1.989;0.58;1679900000
"MDT";"Medtronic Inc.";"Health Care";74.13;-0.88;7378251;2.886;1.195;984300000
"MET";"MetLife Inc.";"Financials";48.77;0.02;10831208;4.888;1.05;1.136e+09
"MHFI";"McGraw Hill Financial";"Financials";94.84;0.92;2016221;3.26;1.2;271500000
"MHK";"Mohawk Industries";"Consumer Discretionary";168.34;-0.43;553593;6.538;0;72900000
"MJN";"Mead Johnson";"Consumer Staples";99.49;-0.59;1198266;3.54;1.5;203100000
"MKC";"McCormick & Co.";"Consumer Staples";73.69;0.37;687231;3.34;1.51;128300000
"MLM";"Martin Marietta Materials";"Materials";114.98;-0.19;758613;2.449;1.6;67300000
"MMC";"Marsh & McLennan";"Financials";55.33;0.4;2289369;2.652;1.09;540900000
"MMM";"3M Company";"Industrials";164.81;-0.68;2363803;7.49;3.42;635300000
"MNK";"Mallinckrodt Plc";"Health Care";105.83;0.86;1539480;-4.921;0;116300000
"MNST";"Monster Beverage";"Consumer Staples";118.73;1.77;907378;2.501;0;167600000
"MO";"Altria Group Inc";"Consumer Staples";54.03;-0.42;8191554;2.557;2;1967400000
"MON";"Monsanto Co.";"Materials";119.06;-1.07;2418961;5.091;1.84;483300000
"MOS";"The Mosaic Company";"Materials";49.34;-1.56;2907530;0.759;1;371300000
"MPC";"Marathon Petroleum";"Energy";96.19;0.39;4559819;8.023;1.84;280200000
"MRK";"Merck & Co.";"Health Care";59.05;-3.23;19446708;1.837;1.77;2850100000
"MRO";"Marathon Oil Corp.";"Energy";27.98;-2.81;11043632;3.613;0.8;674900000
"MS";"Morgan Stanley";"Financials";34.77;-0.77;10246288;2.953;0.4;1.951e+09
"MSFT";"Microsoft Corp.";"Information Technology";41.84;0.58;41614812;2.479;1.15;8202700000
"MSI";"Motorola Solutions Inc.";"Information Technology";63.94;-0.11;3794239;5.631;1.3;240700000
"MTB";"M&T Bank Corp.";"Financials";118.59;0.25;866456;7.42;2.8;132400000
"MU";"Micron Technology";"Information Technology";29.03;0.29;20932848;3.078;0;1077300000
"MUR";"Murphy Oil";"Energy";49.17;-1.48;2875600;5.027;1.326;177500000
"MWV";"MeadWestvaco Corporation";"Materials";51.05;0.71;1399498;1.533;1;1.7e+08
"MYL";"Mylan Inc.";"Health Care";53.22;-2.51;3370530;2.31;0;374300000
"NAVI";"Navient";"Financials";21;-0.38;2554434;2.69;0.45;4.02e+08
"NBL";"Noble Energy Inc";"Energy";47.89;-4.62;4475803;2.579;0.68;3.62e+08
"NBR";"Nabors Industries Ltd.";"Energy";12.15;-4.03;11533088;1.237;0.2;289500000
"NDAQ";"NASDAQ OMX Group";"Financials";47.6;1.17;1124044;2.39;0.58;168200000
"NE";"Noble Corp";"Energy";17.13;-4.67;8502510;3.072;1.4056;252200000
"NEE";"NextEra Energy";"Utilities";109.44;-0.73;1563779;5.6;2.9;4.42e+08
"NEM";"Newmont Mining Corp. (Hldg. Co.)";"Materials";24.82;0.81;7071111;-1.245;0.225;498800000
"NFLX";"Netflix Inc.";"Information Technology";448.71;-1.8;1778706;4.32;0;60500000
"NFX";"Newfield Exploration Co";"Energy";30.99;-3.7;4398118;3.919;0;135300000
"NI";"NiSource Inc.";"Utilities";44.55;-0.96;2548789;1.673;1.02;315700000
"NKE";"NIKE Inc.";"Consumer Discretionary";92.54;-0.87;3593657;3.358;1;863900000
"NLSN";"Nielsen Holdings";"Industrials";43.75;-0.91;3014500;0.952;0.95;381100000
"NOC";"Northrop Grumman Corp.";"Industrials";161.84;0.85;1627830;9.402;2.71;2.02e+08
"NOV";"National Oilwell Varco Inc.";"Energy";52.33;-3.24;12118616;5.971;1.6144;430600000
"NRG";"NRG Energy";"Utilities";26.04;0;5278601;-0.88;0.565;338100000
"NSC";"Norfolk Southern Corp.";"Industrials";106.35;-0.31;2845673;6.39;1.68;308200000
"NTAP";"NetApp";"Information Technology";38.92;-0.87;2634445;1.907;0.645;311700000
"NTRS";"Northern Trust Corp.";"Financials";67.75;-0.57;1255859;3.32;1.3;233400000
"NU";"Northeast Utilities";"Utilities";55.61;-0.77;1739280;2.45;1.572;316800000
"NUE";"Nucor Corp.";"Materials";45.5;-0.5;3462565;2.22;1.482;320200000
"NVDA";"Nvidia Corporation";"Information Technology";20.16;0.25;4537872;1.022;0.34;543600000
"NWL";"Newell Rubbermaid Co.";"Consumer Discretionary";37.66;-1.21;3356849;1.357;0.66;272700000
"NWSA";"News Corporation";"Consumer Discretionary";15.59;-0.13;2873674;0.47;0;580100000
"OI";"Owens-Illinois Inc";"Materials";24.22;-0.62;3029300;0.871;0;164400000
"OKE";"ONEOK";"Energy";45.47;-2.8;2214187;1.468;2.73;208200000
"OMC";"Omnicom Group";"Consumer Discretionary";74.08;-0.22;1062151;4.081;1.9;248200000
"ORCL";"Oracle Corp.";"Information Technology";42.42;-1.44;12912026;2.404;0.48;4391800000
"ORLY";"O'Reilly Automotive";"Consumer Discretionary";192.71;-0.29;1058082;6.971;0;101400000
"OXY";"Occidental Petroleum";"Energy";80.85;-1.58;6871349;0.789;2.7929;775400000
"PAYX";"Paychex Inc.";"Information Technology";47.07;0.34;2252855;1.77;1.49;363100000
"PBCT";"People's United Bank";"Financials";14.42;-1.17;3209648;0.84;0.66;300100000
"PBI";"Pitney-Bowes";"Industrials";22.28;-3.17;2670408;1.635;0.752;201700000
"PCAR";"PACCAR Inc.";"Industrials";62.46;-0.46;1966741;3.82;1.86;355200000
"PCG";"P G & E Corp.";"Utilities";57.91;-1.6;3780499;2.994;1.82;475100000
"PCL";"Plum Creek Timber Co.";"Financials";44.56;-0.54;794029;1.21;1.76;175900000
"PCLN";"Priceline.com Inc";"Consumer Discretionary";1028.28;-0.89;557866;44.273;0;52400000
"PCP";"Precision Castparts";"Industrials";204.74;-1.71;1877099;12.971;0.12;142500000
"PDCO";"Patterson Companies";"Health Care";50.69;0.2;524454;2.151;0.8;98800000
